fiscal_year,rev_exp,category,subcategory,amount
2014,EXPENDITURES,General Government,Capital Lease Proceeds (contra exp),-1300000
2014,EXPENDITURES,General Government,Technology Services,7801343
2014,EXPENDITURES,General Government,Less Reimb. from Soccer Park,-7218
2014,EXPENDITURES,General Government,Human Resources,2016410
2014,EXPENDITURES,General Government,Self Insurance (Workman's Comp),1750000
2014,EXPENDITURES,Development,Planning,3240123
2014,EXPENDITURES,Development,Affordable/Empl Housing Fund,177330
2014,EXPENDITURES,Development,Development Support,411584
2014,EXPENDITURES,Development,Inspections & Permits,3977794
2014,EXPENDITURES,Infrastructure,Transportation and Facilities,2791437
2014,EXPENDITURES,Infrastructure,Water Resources - Infratructure,1321003
2014,EXPENDITURES,Infrastructure,Engineering,3157815
2014,EXPENDITURES,Infrastructure,WWRWMF Costs,-117500
2014,EXPENDITURES,Infrastructure,Reimb. from Utility Fund,-1172753
2014,EXPENDITURES,Public Safety,Police,22317961
2014,EXPENDITURES,Public Safety,Less Reimb. from Downtown Ops,-26155
2014,EXPENDITURES,Public Safety,Police Separation Fund,318291
2014,EXPENDITURES,Public Safety,Fire,20220255
2014,EXPENDITURES,PRCR,Administration,1618110
2014,EXPENDITURES,PRCR,Recreation Programs,3363343
2014,EXPENDITURES,PRCR,Cultural Arts,963855
2014,EXPENDITURES,PRCR,Festival,149505
2014,EXPENDITURES,PRCR,Teen Council,49181
2014,EXPENDITURES,PRCR,Amphitheatre,881740
2014,EXPENDITURES,PRCR,Cary Arts Center,1797003
2014,EXPENDITURES,PRCR,Cary Theater,382658
2014,EXPENDITURES,PRCR,Downtown Special Events,375118
2014,EXPENDITURES,PRCR,Tennis Center,1800203
2014,EXPENDITURES,PRCR,Soccer Park,1509579
2014,EXPENDITURES,PRCR,Skate Park,310949
2014,EXPENDITURES,PRCR,USA Baseball,1042020
2014,EXPENDITURES,PRCR,Athletics,1622390
2014,EXPENDITURES,Public Works and Utilities,Administration,1840792
2014,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-1100000
2014,EXPENDITURES,Public Works and Utilities,Facilities Management,17199367
2014,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,
2014,EXPENDITURES,Public Works and Utilities,Less Reimb. from Amphitheatre,-230000
2014,EXPENDITURES,Public Works and Utilities,Less Reimb. from Downtown Ops,-432076
2014,EXPENDITURES,Public Works and Utilities,Less Reimb. from Tennis,-205270
2014,EXPENDITURES,Public Works and Utilities,Less Reimb. from Skate Park,-11675
2014,EXPENDITURES,Public Works and Utilities,Less Reimb. from Soccer Park,-1005310
2014,EXPENDITURES,Public Works and Utilities,Less Reimb. from USA Baseball,-690840
2014,EXPENDITURES,Public Works and Utilities,Operations,14409904
2014,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-9166193
2014,EXPENDITURES,Public Works and Utilities,Solid Waste Management,4469031
2014,EXPENDITURES,Public Works and Utilities,Recycling,1470567
2014,EXPENDITURES,Public Works and Utilities,Yard Waste,2319472
2015,REVENUES,Ad Valorem Taxes,Current Year Ad Valorem Taxes,77376802
2015,REVENUES,Ad Valorem Taxes,Prior Year Ad Valorem Taxes,150000
2015,REVENUES,Ad Valorem Taxes,Penalties and Interest,65000
2015,REVENUES,Other Taxes & Licenses,ABC Revenue,648607
2015,REVENUES,Other Taxes & Licenses,1 Cent Sales Tax-Article 39,12335733
2015,REVENUES,Other Taxes & Licenses,1/2 Cent Sales Tax-Articles 40 & 42,10818537
2015,REVENUES,Other Taxes & Licenses,Article 44 Hold Harmless,3352664
2015,REVENUES,Other Taxes & Licenses,Privilege Licenses,1663315
2015,REVENUES,Other Taxes & Licenses,Occupancy Tax,886560
2015,REVENUES,Other Taxes & Licenses,Licenses,6920
2015,REVENUES,Other Taxes & Licenses,Rental Vehicle Tax,85000
2015,REVENUES,Intergovernmental,Utility Franchise Taxes,4593240
2015,REVENUES,Intergovernmental,Wine and Beer Tax,596067
2015,REVENUES,Intergovernmental,Telecommunications Sales Tax,1417288
2015,REVENUES,Intergovernmental,Gov's Hwy Program Grant,60631
2015,REVENUES,Intergovernmental,High School Resource Officer Reimb.,151352
2015,REVENUES,Intergovernmental,Other Restricted/Grants,
2015,REVENUES,Permits and Fees,Building Permits,3400000
2015,REVENUES,Permits and Fees,Pavement/Curb Cuts,15928
2015,REVENUES,Permits and Fees,Rezoning/Var. Request Fees,44000
2015,REVENUES,Permits and Fees,Site/Final Plan Review Fees,151738
2015,REVENUES,Permits and Fees,Inspection Fees,609465
2015,REVENUES,Permits and Fees,Sign Permits,28000
2015,REVENUES,Permits and Fees,Fire Permits,50000
2015,REVENUES,Permits and Fees,Watershed Maint. Fees,420000
2015,REVENUES,Permits and Fees,Traffic Impact Analysis Reimb.,234000
2015,REVENUES,Permits and Fees,Cell Tower Study Fees,
2015,REVENUES,Permits and Fees,Grading Permits,260000
2015,REVENUES,Sales and Service,Solid Waste and Recycling,8049696
2015,REVENUES,Sales and Service,Used Appliance Disposal,38090
2015,REVENUES,Sales and Service,Recreation Program Fees,1100000
2015,REVENUES,Sales and Service,Recreation Retail Sales,24500
2015,REVENUES,Sales and Service,Dog Park,27000
2015,REVENUES,Sales and Service,Skate Park,154500
2015,REVENUES,Sales and Service,Ticket Sales,
2015,REVENUES,Sales and Service,Athletic Fees,900000
2015,REVENUES,Sales and Service,USA Baseball,486000
2015,REVENUES,Sales and Service,Tennis,1411000
2015,REVENUES,Sales and Service,Arts & Crafts,75000
2015,REVENUES,Sales and Service,Wake Med Soccer Park,617428
2015,REVENUES,Sales and Service,Cary Arts Center,670540
2015,REVENUES,Sales and Service,Cary Theater,177080
2015,REVENUES,Sales and Service,Downtown Special Events,6474
2015,REVENUES,Sales and Service,Festivals,153105
2015,REVENUES,Sales and Service,Teen Council,46309
2015,REVENUES,Sales and Service,Recreational Facility Rentals,305000
2015,REVENUES,Sales and Service,Cultural Arts Rentals,41500
2015,REVENUES,Sales and Service,Rents-Fire,160799
2015,REVENUES,Sales and Service,Hazardous Waste Reimb.,20000
2015,REVENUES,Investment Earnings,Unrealized Gains/Losses,
2015,REVENUES,Investment Earnings,Net Investment Earnings,305562
2015,REVENUES,Miscellaneous,Miscellaneous Revenues,450000
2015,REVENUES,Miscellaneous,Landfill Excise Tax,70751
2015,REVENUES,Miscellaneous,Video Programming Sales Tax,884431
2015,REVENUES,Miscellaneous,PEG Channel Distribution,31971
2015,REVENUES,Miscellaneous,Court Costs,25692
2015,REVENUES,Miscellaneous,Donations / Contributions,148750
2015,REVENUES,Miscellaneous,Recycled Goods,200000
2015,REVENUES,Miscellaneous,Disposable Rebate,385009
2015,REVENUES,Miscellaneous,Police Reports/Fines,
2015,REVENUES,Miscellaneous,Red Light Ticket,
2015,REVENUES,Miscellaneous,Cellular Tower Lease Proceeds,806944
2015,REVENUES,Miscellaneous,Morrisville Reimbursement,
2015,REVENUES,Miscellaneous,NCDOT Traffic Signal Reimbursement,720998
2015,REVENUES,Miscellaneous,NCDOT / Amtrak Depot Lease,69003
2015,EXPENDITURES,General Government,Legislative-Town Council,571566
2015,EXPENDITURES,General Government,Legislative-Boards & Comm.,151039
2015,EXPENDITURES,General Government,Legislative-Town Clerk,387727
2015,EXPENDITURES,General Government,Legislative-Legal,1603788
2015,EXPENDITURES,General Government,Town Manager's Office,1809689
2015,EXPENDITURES,General Government,Sustainability Office,
2015,EXPENDITURES,General Government,Budget Office,603644
2015,EXPENDITURES,General Government,Public Information Office,790549
2015,EXPENDITURES,General Government,Finance-Accounting,2809976
2015,EXPENDITURES,General Government,Finance-Purchasing,925475
2015,EXPENDITURES,General Government,Self Insurance (Small Claims),500000
2015,EXPENDITURES,General Government,Technology Services Capital Leases,1300000
2015,EXPENDITURES,General Government,Capital Lease Proceeds (contra exp),-1300000
2015,EXPENDITURES,General Government,Technology Services,7698302
2015,EXPENDITURES,General Government,Less Reimb. from Soccer Park,-7218
2015,EXPENDITURES,General Government,Human Resources,2100208
2015,EXPENDITURES,General Government,Self Insurance (Workman's Comp),1500000
2015,EXPENDITURES,Development,Planning,2508961
2015,EXPENDITURES,Development,Affordable/Empl Housing Fund,180793
2015,EXPENDITURES,Development,Development Support,899755
2015,EXPENDITURES,Development,Inspections & Permits,3746789
2015,EXPENDITURES,Infrastructure,Transportation and Facilities,4873980
2015,EXPENDITURES,Infrastructure,Water Resources - Infratructure,2553609
2015,EXPENDITURES,Infrastructure,Engineering,
2015,EXPENDITURES,Infrastructure,WWRWMF Costs,
2015,EXPENDITURES,Infrastructure,Reimb. from Utility Fund,
2015,EXPENDITURES,Public Safety,Police,23188431
2015,EXPENDITURES,Public Safety,Less Reimb. from Downtown Ops,-36320
2015,EXPENDITURES,Public Safety,Police Separation Fund,364195
2015,EXPENDITURES,Public Safety,Fire,20359324
2015,EXPENDITURES,PRCR,Administration,1369507
2015,EXPENDITURES,PRCR,Recreation Programs,3325997
2015,EXPENDITURES,PRCR,Cultural Arts,951272
2015,EXPENDITURES,PRCR,Festival,153105
2015,EXPENDITURES,PRCR,Teen Council,46309
2015,EXPENDITURES,PRCR,Amphitheatre,455000
2015,EXPENDITURES,PRCR,Cary Arts Center,1887808
2015,EXPENDITURES,PRCR,Cary Theater,702837
2015,EXPENDITURES,PRCR,Downtown Special Events,324239
2015,EXPENDITURES,PRCR,Tennis Center,1753475
2015,EXPENDITURES,PRCR,Soccer Park,1536312
2015,EXPENDITURES,PRCR,Skate Park,269207
2015,EXPENDITURES,PRCR,USA Baseball,946247
2015,EXPENDITURES,PRCR,Athletics,1632342
2015,EXPENDITURES,Public Works and Utilities,Administration,1247929
2015,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-701274
2015,EXPENDITURES,Public Works and Utilities,Facilities Management,16535960
2015,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-201110
2015,EXPENDITURES,Public Works and Utilities,Less Reimb. from Amphitheatre,-230000
2015,EXPENDITURES,Public Works and Utilities,Less Reimb. from Downtown Ops,-497832
2015,EXPENDITURES,Public Works and Utilities,Less Reimb. from Tennis,-183950
2015,EXPENDITURES,Public Works and Utilities,Less Reimb. from Skate Park,-18881
2015,EXPENDITURES,Public Works and Utilities,Less Reimb. from Soccer Park,-964470
2015,EXPENDITURES,Public Works and Utilities,Less Reimb. from USA Baseball,-600240
2015,EXPENDITURES,Public Works and Utilities,Operations,14747984
2015,EXPENDITURES,Public Works and Utilities,Less Reimb. from Utility Fund,-10228988
2015,EXPENDITURES,Public Works and Utilities,Solid Waste Management,4720695
2015,EXPENDITURES,Public Works and Utilities,Recycling,1588566
2015,EXPENDITURES,Public Works and Utilities,Yard Waste,2606454
